User,Average Similarity
식이꺼71,0.8680378
9775,0.86801153
배너18,0.86798406
hanss1212,0.8679608
hha****,0.8679374
이도톨10,0.86792827
vit****,0.8678838
gracejji,0.86787325
이자벨라18,0.86778307
Lola50,0.86776316
ro****,0.86775535
띠로롱,0.86774117
뱀2729,0.86773133
훙힝46,0.8677092
jek****,0.86758566
은성5145,0.8675499
하니지니57,0.86754185
rmememr,0.867478
ㄱㅆ,0.86743444
매드해피,0.86737686
짱구야 안말려,0.8672686
끼군,0.8672293
뵤리플데이,0.8671181
징9661,0.86699796
hansooooooo,0.8669274
황달제너,0.8668913
고오5791,0.86688244
푸드Man,0.8668164
복숭밍밍,0.8667529
황학동티스푼,0.8667344
dbf****,0.8666949
MJAYJ,0.86664855
지멘쓰,0.8666468
초코양이,0.8665981
ehd****,0.86657256
원맨이야,0.8665598
바쁘다바빠현대사회ㄴ,0.86653036
ddi****,0.86648935
야옹9645,0.86640716
지리멸렬41,0.8663897
wld****,0.8663323
qnddj0,0.86628634
푸른하늘 은하수 하얀 쪽배,0.86620367
카오리538,0.86620265
zieunnie,0.8659833
먹낙이니까,0.86597514
ryeon33,0.8659204
라꿈,0.86591285
알뜰키즈맘,0.86584544
와이제이57,0.8657873
kyy****,0.86577
아기곰71,0.86571366
팽자몽,0.8656879
솜주먹56,0.86564386
sara210,0.86562914
아리송3878,0.86561084
랄랄라9939,0.8655727
민첩한광이,0.86555827
김젼K,0.8655272
라하베,0.8655206
바이올렛쭌,0.8652827
81kimmh,0.86514294
chanmi1925,0.8651047
1494,0.8650979
HJ2782,0.86508757
기즈모44,0.86508083
morning84,0.8650728
Yihan,0.86504376
tyrant,0.8650261
뮈엥,0.8649933
일일일일입니다,0.8649547
은까빙,0.864872
JJ77,0.864832
roundfrog71,0.86482704
지혀온온,0.86471486
뜰안의작은행복,0.8646909
태태87,0.8646796
맛도리주소,0.86437047
물쨍이,0.8641833
귀염둥이까꿍,0.8641762
pluslife7646,0.86414313
라리링링,0.8641241
샤인엄마,0.8640802
오트76,0.8640753
도베름 안,0.8639972
awa****,0.8638914
소마링47,0.86388826
장여사72,0.8638873
Hjin,0.8637108
허더기,0.86362475
새콤74,0.8636094
포송맘,0.8635484
leekong003,0.86354196
데굴데굴봄,0.8634338
y0727,0.86342394
WAVE84,0.86340797
해피해피얍,0.8634056
ch7****,0.86336166
hweee,0.863305
댕댕댕4184,0.8632736
hy****,0.8632651
Kositive,0.86318886
오버걸52,0.8631236
밍도닝,0.86310613
고목나무32,0.8630951
mijung9075,0.86307204
cod****,0.8630608
수박곤듀,0.8629171
냠냠북북,0.86287165
Ding Dong,0.862868
란트,0.8626836
나는현,0.86268234
me****,0.8626527
flrnrn,0.8625911
민초몬,0.86248034
뽈1013,0.8624599
톨z,0.8624204
whmm0508,0.86237353
Yeoranyu,0.86234677
맛나게냠냠냠,0.86234474
two12,0.8623244
anna flow,0.86225146
fromlake,0.8622376
효뭉S2,0.86221373
그린초greencho,0.8621336
노니야,0.86212486
Cadillac,0.8620407
Solee,0.8620168
부천후후,0.86200887
godkide,0.8619661
배고프지않냐,0.8619023
billberry,0.8618135
도도거만,0.86179864
로에,0.86178666
하양영영,0.8617718
김양희124,0.8617606
이소VeV,0.86171913
기보드파이터,0.8616953
들레63,0.86167246
달꼬매,0.86158013
박정은17,0.8614498
sse****,0.861389
PURPOSE,0.8613161
항상감사77,0.8612769
tae****,0.86121774
콩콩이엄마57,0.8611881
프랑수아92,0.8611277
KADE31,0.8610291
qrqr,0.8610147
뚝딱맘64,0.86100054
kue****,0.8609193
여우맘 야옹,0.8608392
브리그,0.86080486
momo30,0.8607987
달퐁65,0.8607867
라니애옹,0.86068535
수수꽃다리429,0.8605805
tykim70,0.86056834
dlshrl25,0.8605162
울라프랑함께,0.86048687
아들둥맘46,0.86047375
포로리05,0.86046964
ㅎ니은ㅎ,0.8603127
달lee,0.8602541
늘 배고픈 돌주먹,0.8601822
기면기고아님아니재,0.86016595
29251384,0.86
조아조아0624,0.8599638
이정원5218,0.85982454
강디옹,0.85979044
호두의맛집,0.85977864
지나가던행인96,0.85977393
ghk****,0.859749
먹고 마시는 즐거움,0.85968924
Chole82,0.8596278
휴리링22,0.85956436
Eungyo,0.85951644
으네프레소,0.859472
ttuttu,0.85938513
까칠한이여사,0.85938185
시러18,0.85927266
스마일레이디,0.85925925
151243,0.8592333
쿨제이95,0.85921204
vam****,0.8590015
whdahrdjaak63,0.8589683
삶의가치46,0.85891706
kyj****,0.8589141
쯔키86,0.8588786
v유자차v,0.8588105
졔졔혜,0.8588032
바부탱이87,0.8587449
징징이853,0.85873395
햇살나무20,0.8587138
헤헤뀨,0.85867107
estee1602,0.85843253
dream0519,0.85842663
fjr****,0.85840726
바비리본 큐빅공예,0.85836464
잘먹는전스틴,0.85834765
차차5118,0.8582782
요거투,0.858263
Flora Song,0.85825545
엔젤4791,0.85825294
ehdekehdek,0.85816693
초코송송 00,0.8579532
jys****,0.8578466
찌엉이40,0.85783184
젤리가조하,0.85778004
als****,0.8576905
쟤햐,0.8576731
치킨24,0.85766953
seslevel,0.85763395
가주 우렉마지노,0.8575413
먹뜯맛즐,0.8574983
jnk,0.8574974
Hoo7986,0.8574845
끼야98,0.8574371
산비둘xo,0.85743225
대지꽁꽁,0.8573537
만토바공작,0.85731596
hhhh6958,0.85729736
소담쓰담,0.85728896
칩코초트민,0.85726786
SOOHOGYM63,0.85725856
오트라떼맘,0.85724527
Review집사,0.8572267
하마하마hamahama,0.857194
옥타,0.85716826
섹쉬오들,0.85716224
엘비1790,0.8569626
그리다봄밤,0.8569433
AnP,0.85689723
밍꾼이,0.8568735
고독한혼밥러,0.85685664
EOS23,0.8568519
에이미율,0.8567434
ri****,0.8565941
똥글이7717,0.85655355
붉은지렁이70,0.85652673
DA75,0.8564589
나디양,0.85643023
희망으로 가득찬,0.8563645
션샤인 99,0.8563539
서리담다72,0.85632
null7778,0.8563098
비즈아이콘,0.8562715
해피트리2926,0.8562316
sih****,0.85622627
은총1,0.8562126
keep it real,0.8561805
쿠키5068,0.85614985
카초,0.85613114
Vivere27,0.85604924
bret2000,0.8559818
99miny,0.8559295
유단단단,0.8558678
비쥬9639,0.85585433
유넥스10,0.8558064
lux****,0.85577476
루네6689,0.8557565
달mm,0.85573775
갬성쟁이52,0.855679
까르보불,0.85566986
아랑50,0.85565645
필그림631,0.85563064
Callmebyyourname,0.855619
짬쫑,0.8556004
솔직한 아지,0.8555747
뎅뎅양이,0.85552806
lemonfin,0.85551715
Justone,0.85546106
구르미이97,0.8553851
my3920,0.85537016
친절한에밀리님,0.85533345
소소희희,0.8552996
명일의가배,0.85522395
tnw****,0.8552236
Jay975,0.8551784
jh7237,0.855145
오케이 장,0.85509676
zwndhks23,0.85505205
태양이쮸,0.8550355
바람소리137,0.85499614
룰류랄라1004,0.8548113
밤664,0.85476536
stellayse928,0.8547193
Yang D,0.85465115
amadroite,0.85452265
Little Mermaid,0.85447097
Hoyaaaaaa,0.8543888
메기86,0.8543502
yl1502,0.8543426
goodphy,0.85423434
몬몬몬몽몬,0.854063
캔디2020,0.85399985
skfka519,0.85398
가루쌀,0.85396534
냠냠7126,0.8539336
데찌,0.8538887
대박불끈,0.8538705
맨솔24,0.8538109
왜안바뀌징ㅇㅇ,0.8538073
sou****,0.8537386
쩔이,0.8536984
둥둥4057,0.85363597
멍뭉미0428,0.8535713
vic****,0.85353523
언제나 봄,0.8535245
사악5,0.85352015
얀냥냥얀,0.85349905
로링이,0.85345584
Alloydesign,0.853347
가나다라9156,0.85324824
꼬밍95,0.85323834
starry9168,0.85320044
박one,0.85319966
디카페인연하게,0.85308725
링당동67,0.85305125
bsh****,0.85304993
안쭈35,0.85302913
pej0193,0.8530093
CCccccccc,0.8529823
우애앵,0.85295457
세살더어리게,0.85294837
핑핑구구,0.8529213
알라뽕따이,0.85289377
릴리안나9,0.85284716
shi****,0.852843
권민9576,0.8528242
꽃뎅61,0.8528234
케이티6688,0.852764
아쉔,0.85271144
유효정76,0.85267735
유개념솔직리뷰왕,0.85262
아쉽지만이미사용중인닉네임이에요,0.8524975
점점점저,0.85245806
히송56,0.85238034
구떼신,0.8523756
신당동꿀주먹,0.85236096
룰루랄라라라라아,0.8522776
시시콜콜14,0.85221547
Choi9911,0.85220814
지영1162,0.85214514
Lotus09,0.85201705
한량3284,0.8519945
흠냐냐95,0.8518185
soh****,0.8517988
thankyou49,0.8517597
as3****,0.8516402
Edward49,0.85158545
ic723,0.8514799
생기빵빵,0.8513378
혜철잇,0.85127085
윰윰이,0.85117835
이쁜복덩이 maggie,0.8511378
매운라면51,0.8511266
김희래98,0.85110736
개구장이9,0.8510931
송진이20,0.8509915
no****,0.850975
kimyj665,0.8509448
Tklee83,0.8508922
대기업회장엄마,0.85087824
aa8389,0.8508716
마음잡기,0.85082334
geniuswon,0.85081744
VIP상담대표문의,0.85080624
yo****,0.8508047
제임스꿍이,0.8507705
ksh****,0.8507374
네안녕하세요그게바로저예요,0.85072535
Meggie,0.85056823
rvngtrbl,0.85055923
skyblue1118,0.85055333
삼분의일짜리행복,0.8501794
아재입맛언니,0.8501772
뉴릴릴릴리,0.850168
해떠요,0.8501546
hahatngus31,0.85011363
nagosomi,0.8500804
하늘구름점하나,0.8500599
먹는거에 진심인 여자,0.85005456
Blueberry7,0.8499755
1dldnwls,0.8498812
jiy****,0.84987915
무늬무늬,0.849862
예은아씨21,0.84984285
shine236,0.84983975
쩡4520,0.8498233
미리해봄,0.8497492
SQRA,0.8496124
모란모란한 몽몽씨,0.8495932
레볼루션48,0.84958994
Whatever44,0.8495562
btw9,0.84941226
kic****,0.8493992
꼬밍이랑마루,0.84937507
버터와플90,0.84926224
꿈을이루는연두,0.8491351
메텔9140,0.84907556
Nblogger hoon,0.84904456
고미4571,0.8490001
포비왕국,0.8489646
ttittittuttu,0.848958
깐지깐지요,0.8489453
밀밀ㅁ,0.84885675
수지양48,0.8488497
이유정763,0.8488114
모강지,0.8487164
Jessicat,0.84868777
yuvykko,0.8486592
Youryeong,0.84860957
재즈홀릭,0.8485903
아리식,0.8485818
eeehhh212,0.84857684
함부라지,0.84853375
균찌,0.84847933
hyu****,0.84847885
bolikim,0.8484378
fre****,0.84840304
ada****,0.84839493
